Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type,Abstract
"Transitioning from Industry 4.0 to Industry 5.0 for Sustainable and Additive Manufacturing of Clothing: Framework, Case Studies, Recent Advances, and Future Prospects",Materials Circular Economy,,,,10.1007/s42824-025-00176-7,Md.Tareque RahamanArnob Dhar PrantaSamin Ahmed,2025,https://link.springer.com/article/10.1007/s42824-025-00176-7,Article,"Industry 5.0 aspires to enhance human–machine collaboration in the clothing industry by integrating human intelligence with advanced technologies. This review discusses the transition from Industry 4.0, which focused on automation and ethical supply chain management, to Industry 5.0, which emphasizes robotics, the Internet of Things (IoT), and Artificial Intelligence (AI) to enable customized manufacturing, sustainability, and improved worker roles. It also aims to provide a comprehensive overview of Industry 5.0’s impact on additive manufacturing in the clothing sector. It figures out the framework of this transition, explores emerging opportunities, and identifies key challenges that can arise. It summarizes the significant opportunities of Industry 5.0 in promoting innovation and productivity within the clothing industry. Observations from successful case studies indicate that clothing bands that embrace Industry 5.0 in additive manufacturing are enjoying the ultimate benefits. Key benefits include mass customization, intelligent resource management for reduced environmental impact, and the production of high-value employments. However, major challenges persist, including the requirements of substantial technological investments, concerns over job displacement, and data security risks. Addressing these challenges requires strategic framework, strong technological integration, and workforce reskilling programs.
Graphical Abstract"
Neuroleadership Skills in Industry 5.0,Information Technology and Systems,,,,10.1007/978-3-031-93106-2_26,Nicolle Avendaño VillegasLiz Villanueva PatiñoEduardo Salazar Araujo,2025,https://link.springer.com/chapter/10.1007/978-3-031-93106-2_26,Conference paper,"The objective of the study was to measure to what extent professionals leading in Industry 5.0 consider themselves competent in transformational leadership skills, that been related to neuroleadership. These skills are breakthrough, agility, emotional intelligence, influence, communication, visionary, problem-solving, and decision-making. The participants were 30 engineers from the Simón Bolívar University, in Barranquilla, who work in positions related to the new conditions resulting from the rise of Industry 5.0. The researchers created the instrument “Questionnaire of neuroleadership skills in industry 5.0”, to show the degree of presence of these skills. The results suggest, through a descriptive analysis, that these professionals, who work in Industry 5.0 places, acknowledge having a level, higher than 90%, of the neuroleadership skills, which are expected by organizations exposed to environments that integrate artificial intelligence with robotics and promote collaboration and creativity to achieve more sustainable solutions in the industry. In this order, the labor market new conditions, especially related to Industry 5.0, have led to leadership having new characteristics such as those related to neuroscience."
Cloud Computing for Industry 5.0,Industry 5.0,,,,10.1007/978-3-031-87837-4_6,Manik Patil,2025,https://link.springer.com/chapter/10.1007/978-3-031-87837-4_6,Chapter,"Industry 5.0 emphasizes human-centricity, sustainability, and resilience in innovation (European Commission. Industry 5.0: Towards a sustainable, human-centric and resilient European industry; Xu et al., J Manuf Syst 61:1–14, 2021). Cloud computing is quintessential to achieve these goals. Cloud computing harmonizes distributed resources, advanced analytics, and collaborative intelligence to support flexible, adaptive, and context-aware industrial applications.
This chapter examines the role of cloud computing in driving Industry 5.0 transformations. It details the architectures, service models, and management frameworks that streamline complex workflows, empower edge and fog computing integrations, and facilitate mass personalization and human-machine cooperation. Next, the chapter explores Cloud-native design principles, highlighting how containerization, microservices, and DevOps practices foster scalable and elastic technology infrastructures (De Donno et al., IEEE Access 8:197768–197808, 2020). Security, privacy, and trust mechanisms are crucial to safeguard intellectual property and sensitive data and ensure compliance to bolster confidence among stakeholders (Nahavandi, Sustainability 11(16):4371, 2019).
The chapter identifies key challenges. These include achieving ultra-low latency, ensuring interoperability, mitigating sustainability concerns, and aligning cloud deployments with ethical standards. The chapter offers valuable insights toward open research directions such as enhancing AI-driven orchestration, developing cognitive resource allocation strategies, and leveraging new paradigms such as quantum computing to maximize operational efficiency (Lu, J Ind Inf Integr 6:1–10, 2017; Tao et al., CIRP Annals 68(1):798–822, 2019).
Through real-world examples, the chapter illustrates the tangible benefits such as optimization of production lines, improvement in patient outcomes, and efficient management of urban resources. This chapter contends that cloud computing is a cornerstone for Industry 5.0, which paves the way for sustainable value creation and continuous innovation."
Communication Technologies for Industry 5.0,Industry 5.0,,,,10.1007/978-3-031-87837-4_2,Nagendra SinghArvind MewadaRachamalla SridharVandana Sondhiya,2025,https://link.springer.com/chapter/10.1007/978-3-031-87837-4_2,Chapter,"Nowadays, Industry 5.0 is a new revolution that offers a harmonious combination of advanced technologies and a human-centric approach for the next wave of smart manufacturing and connected systems. It is an important step in this direction. In this chapter, advanced communication technology facilitated in Industry 5.0, such as wireless protocols, Internet of Things (IoT) connectivity options, and industrial networking standards, are studied. We evaluate the suitability of these technologies for diverse Industry 5.0 applications, such as human-robot collaboration, real-time analytics, and autonomous systems, by analysing their capabilities, scalability, and compatibility. It includes important wireless protocols such as the fifth generation of cellular network technology (5G), Wi-Fi 6 (IEEE 802.11ax), and Low-Power Wide-Area Network (LPWAN) beside IoT connectivity options (MQTT, CoAP, and DDS) that enable seamless integration within complex industrial ecosystems. Numerous essential factors influence technology in Industry 5.0. This chapter highlights the importance of these factors that impact Industry 5.0 in determining the best technology to adopt. It also emphasises the role of communication in enabling flexibility, responsiveness, and resilience in the future industrial environment."
A Systematic Review of Emerging Industry 5.0 Technologies: Enhancing Agile Manufacturing for Sustainability,Operations Research Forum,,,,10.1007/s43069-025-00427-y,Ruby PantRajesh SinghAnita GehlotAmit Kumar Thakur,2025,https://link.springer.com/article/10.1007/s43069-025-00427-y,Article,"Sudden challenges have arisen in manufacturing from the last few years. These changes destroyed the traditional manufacturing system. High automation was introduced in the industry by connecting physical and virtual world, known as Industry 4.0. Since Industry 4.0 was unable to meet the emergent need for customization, the term Industry 5.0 was developed to address the customised manufacturing. It seeks to achieve social goals beyond employment and growth by centring human well-being in industrial systems, thus providing robust prosperity for a sustainable future for all humanity. This industry revaluation enhanced the customer satisfaction by creating their customised products. The primary goal of industrial transformation is to take into account the social and environmental advantages of the sector in order to become a true source of success. In order to achieve maximum efficiency with maximum profit, this innovative method will improve the wealth of all stakeholders, including investors, employers, consumers, society, and the environment. This paper aims to categorise and summarise the research results from some papers on Industry 5.0 and key challenges of Industry 4.0 in order to provide guidance and insight to other researchers and professionals. In order to achieve SDG 9: Industry, Innovation, and Infrastructure, new cutting-edge technologies must be adopted in a sustainable manner. The flexibility and efficiency of industry production were enhanced by advanced technologies. The study demonstrates how incorporating cutting-edge digital technologies like artificial intelligence (AI), the Internet of Things (IoT), collaborative robotics (cobots), and cyber-physical systems (CPS) into agile approaches improves manufacturing’s flexibility, responsiveness, and customisation. The results show that agile manufacturing in Industry 5.0 promotes productivity, sustainability, and mass customisation while improving worker-machine cooperation."
How information systems can support labor flexibility implementation: enhanced information architecture framework for industry 5.0,Flexible Services and Manufacturing Journal,,,,10.1007/s10696-025-09642-5,Federica CostaAlireza AhmadiAlessandra CantiniAlberto Portioli-Staudacher,2025,https://link.springer.com/article/10.1007/s10696-025-09642-5,Article,"In Industry 5.0, where human-centricity, resilience, and customization are prioritized, implementing labor flexibility (LF) poses a persistent challenge, especially for make-to-order (MTO) systems. Although the benefits of LF are conceptually understood, effective frameworks for its practical deployment, particularly in data-scarce and digitally diverse environments, remain insufficient. This study addresses this gap by (i) employing discrete-event simulation (DES) to determine optimal thresholds for labor relocation and evaluate performance trade-offs, and (ii) proposing FlexiFlow, a structured information architecture framework designed to support LF implementation across different levels of digital maturity. The simulation identifies relocation logic and training setups that significantly reduce lead time while minimizing unnecessary labor movements. FlexiFlow complements this by guiding manufacturers, particularly small enterprises, in collecting and managing essential operational data for LF without necessitating full manufacturing execution systems (MESs) integration. Together, the results and framework provide actionable strategies that align with Industry 5.0’s vision for adaptive, efficient, and human-centered production systems."
Toward human-centric Industry 5.0: a framework for cognitive workload assessment in maintenance and assembly,Journal of Intelligent Manufacturing,,,,10.1007/s10845-025-02716-z,Micaela VittiAngelica CotruvoFrancesco Facchini,2025,https://link.springer.com/article/10.1007/s10845-025-02716-z,Article,"In the transition from Industry 4.0 to Industry 5.0 (I5.0), the focus of manufacturing is shifting toward human-centric, sustainable, and resilient systems. A key challenge in this evolution is managing the cognitive workload (CWL) of operators, especially during complex tasks such as maintenance and assembly. These activities are central to industrial operations and often involve high mental demands due to task variability, decision-making under pressure, and human–machine collaboration. Despite a growing body of research on CWL, there remains a lack of clarity regarding the most suitable assessment methods for specific industrial tasks. This study addresses that gap by conducting a systematic literature review to identify how CWL is measured across distinct categories of maintenance and assembly operations, the results of which were used to develop a framework for measuring CWL and a matrix of CWL assessment guidelines. Findings show that different task categories present distinct cognitive demands, which influence the selection of CWL assessment methods. Routine and structured tasks are typically assessed using subjective or basic physiological measures, while more complex and dynamic tasks increasingly require multimodal approaches combining subjective, physiological, and performance-based data. Additionally, the review revealed intra-domain similarities and inter-domain differences that highlight the need for task-specific CWL evaluation strategies. Based on these insights, the study proposes a framework that maps suitable CWL assessment methods to categories of maintenance and assembly tasks, along with a CWL assessment guidelines matrix to support method selection according to task complexity and operational impact. By offering a structured approach to CWL evaluation, this work contributes to the transition toward adaptive, human-centric industrial systems in line with the I5.0 paradigm."
Industry 5.0: A Review of Trends Compared to Industry 4.0 and Society 5.0,"Organizational Engineering, Coping with Complexity",,,,10.1007/978-3-031-82334-3_68,Sandra Ramos GutiérrezIsabel García-Gutiérrez,2025,https://link.springer.com/chapter/10.1007/978-3-031-82334-3_68,Conference paper,"This paper aims to review the concepts of Industry 4.0, Industry 5.0 and Society 5.0. Applying systematic review techniques, the trends and main topics associated to these concepts are analysed. The study provides arguments that illuminate the discussion on the real differences or similarities between these three concepts and on the dilemma of whether the Industry 5.0 concept replaces or complements Industry 4.0."
A system-based approach to value prioritization in industry 5.0 for sustainable value creation,Discover Sustainability,,,,10.1007/s43621-025-01134-8,Parisa Jourabchi AmirkhiziSiamak PedrammehrSajjad Pakzad,2025,https://link.springer.com/article/10.1007/s43621-025-01134-8,Article,"This study aims to prioritize the concept of value in the context of Industry 5.0, emphasizing a shift from traditional efficiency metrics to a focus on interconnected value dimensions. The primary objective is to explore how the evolution of value perspectives through industrial revolutions has influenced the strategic direction of Industry 5.0. A systematic approach was adopted, combining an extensive literature review, content analysis, and Interpretive Structural Modeling (ISM). This methodology was employed to create a strategic roadmap and a value model that elucidates the interrelationships among the core components of value in Industry 5.0. The study finds that the concept of value has undergone significant transformations across industrial eras, culminating in Industry 5.0, which presents a distinct and human-centric definition. The research identifies critical value dimensions that interconnect human welfare, sustainability, and technological progress. Through ISM, the study outlines how these elements interact and influence industrial practices, offering a fresh perspective on value prioritization. The findings offer valuable insights for policymakers, businesses, and organizations to realign their strategies and activities with the evolving values of Industry 5.0. Emphasizing human-centric technology and sustainability, the study provides actionable guidelines to enhance performance and ensure that organizational goals contribute to the broader objectives of Industry 5.0. This research introduces a novel perspective by integrating humanities and a systems-based outlook in understanding the role of value in industrial and social development. It highlights the transformative impact of Industry 5.0, marking a significant departure from previous industrial paradigms. The study’s originality lies in its comprehensive approach to prioritizing value dimensions and its potential to guide both academic research and industrial practices."
Industry 5.0 as seen through its academic literature: an investigation using co-word analysis,Discover Sustainability,,,,10.1007/s43621-025-01166-0,Abderahman RejebKarim RejebImen ZrelliEdit Süle,2025,https://link.springer.com/article/10.1007/s43621-025-01166-0,Article,"Industry 5.0 marks a pivotal advancement in manufacturing and bridges cutting-edge technology with human creativity to enhance efficiency, sustainability, and workplace dynamics. Despite its growing relevance, there remains a significant knowledge gap due to the lack of comprehensive reviews that synthesize the breadth of research and practice in this rapidly evolving field. This paper presents a comprehensive bibliometric analysis of Industry 5.0 and examines a corpus of 915 journal articles from the Scopus database, spanning from January 2016 to May 2024. The study aims to map the evolving landscape and thematic trajectories of Industry 5.0, highlighting its integration with advanced technologies such as AI, IoT, and human-centric systems. The findings indicate significant trends in the field, including a shift from theoretical underpinnings to practical applications and the growing emphasis on sustainability and human–machine collaboration. These thematic areas highlight the transformative potential of Industry 5.0 to enhance operational efficiency, workplace dynamics, and environmental sustainability within the industrial sector. By employing bibliometric and co-word analysis, this study addresses existing knowledge gaps and provides a nuanced understanding of the interdisciplinary interactions and future directions in Industry 5.0. The findings reveal the critical role of emerging technologies in driving the next industrial revolution, suggesting that future research should focus on integrating these technologies with socio-economic objectives to fully realize the potential of Industry 5.0. In terms of originality, this study sets a foundation for future explorations and practical implementations that can contribute to more sustainable, efficient, and human-centric industrial practices."
Multidisciplinary cancer disease classification using adaptive FL in healthcare industry 5.0,Scientific Reports,,,,10.1038/s41598-024-68919-1,Tahir AbbasAreej FatimaTariq ShahzadMeshal AlharbiMuhammad Adnan KhanArfan Ahmed,2024,https://link.springer.com/article/10.1038/s41598-024-68919-1,Article,"Emerging Industry 5.0 designs promote artificial intelligence services and data-driven applications across multiple places with varying ownership that need special data protection and privacy considerations to prevent the disclosure of private information to outsiders. Due to this, federated learning offers a method for improving machine-learning models without accessing the train data at a single manufacturing facility. We provide a self-adaptive framework for federated machine learning of healthcare intelligent systems in this research. Our method takes into account the participating parties at various levels of healthcare ecosystem abstraction. Each hospital trains its local model internally in a self-adaptive style and transmits it to the centralized server for universal model optimization and communication cycle reduction. To represent a multi-task optimization issue, we split the dataset into as many subsets as devices. Each device selects the most advantageous subset for every local iteration of the model. On a training dataset, our initial study demonstrates the algorithm's ability to converge various hospital and device counts. By merging a federated machine-learning approach with advanced deep machine-learning models, we can simply and accurately predict multidisciplinary cancer diseases in the human body. Furthermore, in the smart healthcare industry 5.0, the results of federated machine learning approaches are used to validate multidisciplinary cancer disease prediction. The proposed adaptive federated machine learning methodology achieved 90.0%, while the conventional federated learning approach achieved 87.30%, both of which were higher than the previous state-of-the-art methodologies for cancer disease prediction in the smart healthcare industry 5.0."
The Transition from Industry 4.0 to Industry 5.0,Industry 5.0,,,,10.1007/978-3-031-87837-4_3,P. VenuOsama Al-Jamal,2025,https://link.springer.com/chapter/10.1007/978-3-031-87837-4_3,Chapter,"The evolution of industrial processes over the past century has seen significant changes in the manufacturing domain, from Industry 1.0, which focused on steam engines and mechanization, to Industry 4.0, which transitioned into data-powered automation focused on efficiency and high productivity. However, as an industry heavily focused on the automation of production processes, Industry 4.0 faces major concerns about technology-induced human unemployment, ethical use of artificial intelligence, and higher rates of environmental exploitation. This chapter discusses the transition to Industry 5.0, which intends to re-establish human involvement in industrial processes, with increased emphasis on sustainability and mindful production methods. This chapter is a theoretical literature review that envisages Industry 5.0 as a human-centric approach with increased collaboration between humans and machines. It is also evident from this study that Industry 5.0 provides better solutions to the limitations of Industry 4.0 by incorporating contemporary technological tools such as cobots, digital twins, and data empowerment. This inclusion of contemporary technology helps in attaining customized, sustainable production methods that align with global initiatives on sustainability. Following this approach of increased collaboration between humans and machines also guarantees a sustainable future for the manufacturing industry as it focuses on enhancing human skills and operations with the help of technology instead of replacing them."
Exploring the diverse nature of business processes in organisations in Industry 4.0/5.0,Future Business Journal,,,,10.1186/s43093-024-00395-5,Marek SzelągowskiJustyna Berniak-WoźnyPiotr SliżNatalia PotoczekAneta NapierajMarta Podobińska-StaniecPiotr Senkus,2024,https://link.springer.com/article/10.1186/s43093-024-00395-5,Article,"The article investigates the differentiation of business processes in contemporary organisations based on their dynamics (predictability). It presents and summarises research on the nature of business processes in Industry 4.0/5.0 conducted by researchers from 7 Polish universities. The study combines a systematic literature review based on the SCOPUS database and a survey of 466 respondents with an analysis of 12,573 processes. Filling the cognitive gap in Industry 4.0/5.0 organisations, the study reveals that nearly 60% of all BPs are semi-structured processes. At the same time, it shows a strong relationship between the importance of processes for the organisation and the dynamics of their execution. This finding highlights the importance of adaptability and flexibility in organisational dynamics, reflecting the nuanced nature of most BPs. The article presents original research on a diverse sample of Polish enterprises based on the simplified Business Processes Nature Assessment Framework. The presented research results indicate the need to update the essential elements of the BPM concept, such as BPM Lifecycle, BPM implementation method, or BPM maturity assessment, to consider various assessment criteria and implementation methods depending on the nature of BPs. The study contributes to advancing both theoretical knowledge and practical applications in the field of BPM, providing valuable insights for scholars, practitioners, and policymakers alike."
An Augmented Reality tool to support Industry 5.0 operators in product assembly activities,The International Journal of Advanced Manufacturing Technology,,,,10.1007/s00170-024-14777-0,Emanuele MarinoLoris BarbieriChristian SollazzoFabio Bruno,2024,https://link.springer.com/article/10.1007/s00170-024-14777-0,Article,"Industries are increasingly integrating innovative technologies to enhance productivity, ensure high-quality products, and reduce costs and time. Augmented reality (AR) plays a key role in this transition, especially in supporting assembly procedures, which are major contributors to production costs and time constraints. Despite advancements, existing practices often lack effective, user-centric applications that fully address usability, user acceptance, and operator experience, particularly in complex industrial environments. This highlights the urgent need for adaptable assembly guidance solutions that offer intuitive, real-time support throughout the assembly process, from sequence definition to deployment of AR systems. This paper introduces an innovative AR assembly guidance tool (ARAGT) designed for industrial assembly in smart factories. ARAGT integrates virtual information into the physical workspace, providing real-time 3D models and assembly instructions to guide operators. Developed through a User-Centered Design (UCD) approach and refined based on user feedback, ARAGT includes functionalities such as assembly sequence definition, customization of graphical elements for clarity, and virtual annotations for issue reporting. Implemented using Unity® and the AR Foundation library, it is compatible with mobile devices, offering flexibility in diverse industrial settings. The paper presents results from a user evaluation conducted in a real facility, assessing usability and acceptance through SUS and TAM standard questionnaires. The findings suggest that ARAGT effectively addresses the challenges of increasing complexity and efficiency demands in manufacturing assembly, providing a user-centric solution aligned with the Industry 5.0 paradigm."
"Correction: Dynamic competitiveness, firm performance and the regulatory role of government policies in Industry 5.0",Discover Sustainability,,,,10.1007/s43621-025-00854-1,Tang My SangNguyen Tien Hung,2025,https://link.springer.com/article/10.1007/s43621-025-00854-1,Article,Correction: Discover Sustainability (2024) 5:517 https://doi.org/10.1007/s43621-024-00770-w
IoT-Driven Stator Winding Fault Analysis and Prevention for Induction Motor to Meet Industry 5.0 Application,Journal of Failure Analysis and Prevention,,,,10.1007/s11668-025-02249-w,Kapu V Sri Ram PrasadSalapu Ramya SreePyla TanujaThimadani PujithaNeelapu Harsha VardhaniGedela Jhansi,2025,https://link.springer.com/article/10.1007/s11668-025-02249-w,Article,"Induction motors (IM) are essential machines in various industrial applications due to their reliability and efficiency. The faults of stator winding (SW) can lead to severe performance issues if not detected early. This article presents a real-time condition monitoring and control system based on the Internet of Things (IoT), developed using low-cost components. The system utilizes an ESP32 microcontroller connected to voltage (ZMPT101B), current (SCT-013-030), temperature, and humidity (DHT22) sensors to predict voltage, current, humidity, and temperature, respectively. Transmitted data to the Blynk platform, users can remotely monitor motor parameters and control the IM under abnormal conditions. Artificial SW fault is created on slots 13 and 14 to identify different electrical parameters. The motor is tracked via the Internet of Things to avoid unexpected breakdowns. The experimental results demonstrated distinct parameter variations during fault instances, and the test motor (IM) was observed under both healthy and stator-faulty conditions. The motor is operating at a voltage of 125.28 V, an increase in current to 0.635 A, humidity of 95.58, and a temperature raised to 67.08 °C; the suggested work prevents rapid breakdown. These aberrant numbers indicate that the system can identify and notify operators of possible problems by acting as indications of the existence of a fault. Proactive maintenance is made quicker by the Internet of Things-based strategy, which diminishes the probability of unexpected malfunctions and minimizes downtime when combined with remote control instructions and real-time warnings. Reliable monitoring of induction motors is provided by this scalable and affordable monitoring solution, improving operational efficiency and safety. The proposed approach enhances automation with human oversight for sustainable industrial growth by decreasing the requirement for manual supervision and facilitating early problem detection, which is in line with Industry 5.0 application."
A scoping review to bridge lean six sigma and industry 5.0 for sustainable manufacturing and SDGs alignment,Discover Sustainability,,,,10.1007/s43621-025-02107-7,Maha BenjellounBouchra RzineAfaf DaddaHala Hmamed,2025,https://link.springer.com/article/10.1007/s43621-025-02107-7,Article,"The rapid evolution of industrial systems demands a careful reconciliation of sustainability goals, beyond organizational success and financial profitability. While Industry 4.0 (I4.0) has driven significant advances in automation and process efficiency, its impact on the Sustainable Development Goals (SDGs) remains limited and primarily focused on economic outcomes. Responding to the need for deeper integration between digital transformation and sustainability, this study aims to map the existing literature on Lean Six Sigma (LSS) in the contexts of I4.0 and Industry 5.0 (I5.0), but also, to clarify how sustainability dimensions can be embedded into LSS practices. To achieve this, a scoping review was conducted, including all scientific research published up to submission date and sourced from reliable databases (Scopus and others). Through this comprehensive review, a notable gap in how LSS addresses the various dimensions of SDGs was identified. To address this, the present work introduces a novel conceptual framework —Lean Six Sigma 5.0 (LSS 5.0)— which repositions traditional process improvement tools within a human-centric, resilient, and sustainability-oriented manufacturing paradigm. This innovative model advances Sustainable Manufacturing (SM) by embedding sustainability at the core of quality and continuous improvement strategies, enabling organizations to respond to the evolving expectations of I5.0. Beyond its theoretical contribution, this work offers practical insights for industries seeking to align LSS initiatives with the broader goals of sustainable development. Given its theoretical nature, future research should validate this model through empirical case studies and industrial applications, supporting innovation in SM. The findings directly address the review’s objectives by mapping existing knowledge and proposing actionable pathways for integrating sustainability within LSS practices in the I5.0 era."
"Dynamic competitiveness, firm performance and the regulatory role of government policies in Industry 5.0",Discover Sustainability,,,,10.1007/s43621-024-00770-w,Tang My SangNguyen Tien Hung,2024,https://link.springer.com/article/10.1007/s43621-024-00770-w,Article,"Industry 5.0 poses many challenges for insurance companies. This article explores the impact of sustainable competitive advantage on firm performance under the moderator effect of government policies in Vietnamese insurance companies. The study surveyed 248 leaders at insurance companies and used the PLS-SEM method to analyze the data in two steps. The research results show that sustainable competitive advantage is positively influenced by infrastructure capacity, digital orientation, market orientation, and innovation capacity. Sustainable competitive advantage has a strong effect on firm performance. The results also confirm the mediating role of sustainable competitive advantage and the moderating role of government policy. From there, the implication of a solution for insurance companies has been proposed. This study has provided significant empirical evidence for stakeholder theory and dynamic capability theory in the insurance industry, an area where research findings are still ambiguous. Additionally, the study also offers guidelines to assist insurance firms in locating and cultivating the best resources to improve their competitiveness and advance sustainable development."
Human-robot interaction using retrieval-augmented generation and fine-tuning with transformer neural networks in industry 5.0,Scientific Reports,,,,10.1038/s41598-025-12742-9,Hamed Fazlollahtabar,2025,https://link.springer.com/article/10.1038/s41598-025-12742-9,Article,"The integration of Artificial Intelligence (AI) in Human-Robot Interaction (HRI) has significantly improved automation in the modern manufacturing environments. This paper proposes a new framework of using Retrieval-Augmented Generation (RAG) together with fine-tuned Transformer Neural Networks to improve robotic decision making and flexibility in group working conditions. Unlike the traditional rigid rule based robotic systems, this approach retrieves and uses domain specific information and responds dynamically in real time, thus increasing the performance of the tasks and the intimacy between people and robots. One of the significant findings of this research is the application of regret-based learning, which helps the robots learn from previous mistakes and reduce regret in order to improve the decisions in the future. A model is developed to represent the interaction between RAG based knowledge acquisition and Transformers for optimization along with regret based learning for predictable improvement. To validate the effectiveness of the proposed system, a numerical case study is carried out to compare the performance with the conventional robotic systems in a production environment. Furthermore, this research offers a clear approach for implementing such a system, which includes the system architecture and parameters for the AI-based human-robot manufacturing systems. This research solves some of the major issues including the problems of scalability, specific fine-tuning, multimodal learning, and the ethical issues in the integration of AI in robotics. The outcomes of the study are important in Industry 5.0, intelligent manufacturing and collaborative robotics, and the advancement of highly autonomous, flexible and intelligent production systems."
Revolutionizing sheet metal stamping through industry 5.0 digital twins: a comprehensive review,Journal of Intelligent Manufacturing,,,,10.1007/s10845-024-02453-9,Ossama Abou Ali ModadJason RyskaAbdallah ChehadeGeorges Ayoub,2024,https://link.springer.com/article/10.1007/s10845-024-02453-9,Article,"In this manuscript, we present a comprehensive overview of true digital twin applications within the manufacturing industry, specifically delving into advancements in sheet metal forming. A true digital twin is a virtual representation of a physical process or production system, enabling bidirectional data exchange between the physical and digital domains and facilitating real-time optimization of performance and decision-making through synchronized data from sensors. Hence, we will highlight the difference between Industry 4.0 and the digital twin concept, which is considered synonymous with Industry 5.0. Additionally, we will be outlining the relationship between the true digital twin and Zero Defect Manufacturing. In manufacturing processes, including sheet metal stamping, the advantages of high production speed, cost-effective tooling, and consistent component production are counterbalanced by the challenge of dimensional variability in finished parts, which is influenced by process parameters. Data collection, storage, and analysis are essential for understanding manufactured parts variability, and leveraging true digital twins ensures high-quality parts production and processes optimization."
Sustainable Development Goal and Industry 5.0,Sustainable Economy Models in the Age of Industry 5.0,,,,10.1007/978-981-96-4104-8_3,Ghousia JabeenGurunadham GoliKafila,2025,https://link.springer.com/chapter/10.1007/978-981-96-4104-8_3,Chapter,"Industry 5.0 can promote SDGs and reveal a future with enhanced technologies, humanity, and environmental responsibility. This chapter discusses the link between Sustainable Development Goals (SDGs) and Industry 5.0. Facilitating human-centric and environmentally sustainable industrial development was the focus of this study. We initiated Industry 4.0 concentrated on automating industries, Industry 5.0 emphasizes human-technology interaction, innovation, and environmental thinking. The human-centered approach thus reiterates most of the dimension keys Social, Economic, and Environmental challenges. However, limitations include high implementation costs, workforce skills gap and cybersecurity challenges. In this study, we used a qualitative research methodology to explore Sustainable Development Goals (SDGs) in relation to Industry 5.0, focusing primarily on an analysis of pertinent literature. The chapter highlights an industry-supported innovation and alignment with the most sustainable development goals. In this chapter, research findings show Industry 5.0 promotes SDG 9 by combining human-centered innovation with AI, robotics, and the IoT, this fosters the goal of development. The generator conception of new jobs that prioritize human contributions in industrial operations promotes sustainable development by contributing to SDG 8 (Decent Work and Economic Growth). Industry 5.0 supports SDG 12 on responsible consumption and in the same respect SDG 13 on Climate Action by reducing waste, using resources efficiently, and using low-carbon production methods. Additionally Industry 5.0 fosters social justice toward SDG 10 by ensuring that technological growth benefits all stakeholders. The chapter also examines how Industry 5.0 technologies support SDG 11-compliant towns and communities."
Quantum Machine Learning for Industry 5.0,Industry 5.0,,,,10.1007/978-3-031-87837-4_7,Krishna GuptaPatnam JahnaviAbhishek HazraAnnushree Bablani,2025,https://link.springer.com/chapter/10.1007/978-3-031-87837-4_7,Chapter,"In Industry 5.0, quantum machine learning (QML) is becoming a key technology that makes sustainable human-centered industrial improvements possible. QML improves supply chain optimization, predictive maintenance, and decision-making by combining machine learning with the processing capability of quantum computing. Even with advances, Industry 5.0 suffers from various emerging challenges that need to be addressed soon. This study investigates how QML might promote human-machine cooperation, increase production effectiveness, and tackle challenging industrial problems. Through applications in industries like robotics, logistics, and manufacturing, QML fosters innovation and supports the ethical and sustainable practices of Industry 5.0. The chapter highlights QML’s disruptive potential in the contemporary industry by outlining important technical pillars, algorithms, and obstacles."
Near-Edge Computing For Industry 5.0,Industry 5.0,,,,10.1007/978-3-031-87837-4_21,Megha SharmaAbhinav TomarAbhishek Hazra,2025,https://link.springer.com/chapter/10.1007/978-3-031-87837-4_21,Chapter,"Industry 5.0 is a new chapter in the history of the industrial revolution, moving away from Industry 4.0’s automation-centric approach and towards a more human-centric paradigm. Industry 5.0 aims to balance machine precision and human inventiveness, encouraging human-machine collaboration. By maximising resource utilisation and minimising environmental effects, this change promotes sustainability initiatives and enables increased customisation in manufacturing. Near-edge computing, which decentralises data processing by bringing it closer to the data source, greatly reduces latency and improves response times in crucial industrial operations, a major enabler of this shift. Near-edge computing plays a vital role in realising the vision of Industry 5.0. In contrast to conventional cloud-based architectures, near-edge computing guarantees real-time decision-making. This chapter explores the function of near-edge computing. It emphasises how it can provide faster feedback loops, increase productivity, and promote human-machine collaboration in dynamic industrial environments. We look at real-world use scenarios to show how near-edge computing might help achieve Industry 5.0’s main objectives: energy-efficient production and real-time monitoring in smart factories. The chapter thoroughly reviews this developing topic and discusses possible research difficulties, future trends, and ethical considerations surrounding integrating near-edge technology in human-centric industrial systems."
